Ground_Truth,binary_image,seg_label
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0000.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0000.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0000.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0001.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0001.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0001.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0002.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0002.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0002.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0003.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0003.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0003.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0004.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0004.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0004.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0005.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0005.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0005.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0006.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0006.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0006.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0007.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0007.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0007.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0008.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0008.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0008.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0009.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0009.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0009.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0010.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0010.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0010.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0011.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0011.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0011.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0012.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0012.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0012.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0013.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0013.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0013.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0014.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0014.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0014.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0015.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0015.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0015.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0016.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0016.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0016.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0017.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0017.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0017.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0018.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0018.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0018.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0019.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0019.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0019.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0020.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0020.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0020.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0021.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0021.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0021.png
/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_image/0022.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_binary_image/0022.png,/home/car-sable/LaneDetection/TuSimpleDataset/Data/Bank1/gt_instance_image/0022.png
